epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps
578,398,38.49000000000029,0 days 00:01:14.609204,7.10856,24257,1,0.43444000000003447,24257,0 days 01:31:09.375511,True,True,10000
579,335,32.190000000000204,0 days 00:01:02.868610,7.312533,24593,1,0.4352600000000353,24593,0 days 01:32:15.871677,True,True,10000
580,550,53.69000000000051,0 days 00:01:16.292646,7.55185,25144,1,0.43662000000003665,25144,0 days 01:33:35.781350,True,True,10000
581,399,38.590000000000295,0 days 00:01:13.584401,7.421069,25544,1,0.4376000000000376,25544,0 days 01:34:52.993172,True,True,10000
582,268,25.490000000000105,0 days 00:00:50.634344,8.144666,25813,1,0.4382600000000383,25813,0 days 01:35:47.246202,True,True,10000
583,261,24.790000000000095,0 days 00:00:47.832759,8.385334,26075,1,0.4389000000000389,26075,0 days 01:36:38.696691,True,True,10000
584,537,52.39000000000049,0 days 00:01:17.474460,8.099502,26613,1,0.44024000000004027,26613,0 days 01:37:59.791109,True,True,10000
585,402,38.8900000000003,0 days 00:01:19.521421,8.146804,27016,1,0.44124000000004127,27016,0 days 01:39:22.941064,True,True,10000
586,212,19.890000000000025,0 days 00:00:44.454098,9.029427,27229,1,0.4417600000000418,27229,0 days 01:40:11.009625,True,True,10000
587,377,36.39000000000026,0 days 00:01:06.029221,9.296182,27607,1,0.4427000000000427,27607,0 days 01:41:20.653320,True,True,10000
588,136,12.289999999999969,0 days 00:00:27.379784,9.624719,27744,1,0.44304000000004307,27744,0 days 01:41:51.656105,True,True,10000
589,263,24.990000000000098,0 days 00:00:43.061676,9.537198,28008,1,0.4436800000000437,28008,0 days 01:42:38.339729,True,True,10000
590,389,37.59000000000028,0 days 00:01:01.762176,9.38094,28398,1,0.44464000000004467,28398,0 days 01:43:43.725822,True,True,10000
